ticker
CSCO
UAL
TROW
ISRG
NVR
MRO
BA
GILD
NLSN
EQIX
MDT
V
QRVO
A
FLT
MO
SWKS
MCHP
CDNS
MSCI
CHTR
EIX
GS-PJ
BBY
WBA
LVS
HCA
AJG
DTE
C
T
CF
MGM
HUM
CFG
WU
APH
MSI
FCX
ADM
LH
GGG
ALTR
PKI
LNT
BAC
LNC
PSX
GPN
PPG
IRM
ESS
NOV
HAL
FLS
ADI
F
CPRT
ULTA
ARE
SYK
CB
TSN
PEP
PEG
NOW
COST
REG
LOW
MDLZ
FMC
XEL
AIZ
MET
FAST
TJX
MPC
BR
D
MRK
STX
NOC
BXP
KHC
UNP
ALLE
ABBV
ECL
SBUX
IR
AMT
INTU
DPZ
DRE
IPGP
PG
CAT
ODFL
MCD
MNST
PNR
BDX
COWN
PWR
DXCM
EXR
HOLX
GM
TXN
VRSK
TMO
OXY
RL
CCI
MMM
MOS
HSY
JNPR
DHI
ED
ES
ADSK
IP
KO
PCAR
WDC
NEE
UPS
LEG
EMR
CTAS
BIO
UDR
WEC
NVRO
AME
IT
ACN
VRSN
EW
CMG
AWK
COO
SHW
HPQ
RIBT
AMAT
MLM
AVY
AAP
ATVI
EA
DE
SPG
AMD
NDAQ
URI
WHR
KMX
WRK
RLI
BIIB
CHRW
ROP
IDXX
HES
HD
ALB
AON
ZTS
FDX
DG
TYL
CAG
SCHW
HSIC
AZO
AXP
HPE
DFS
SEE
HRL
SO
FRT
ZBH
FRC
CME
FN
XOM
AMP
PNW
ICE
BEN
UHS
EMN
ROK
NRG
NSC
FIS
FANG
VTR
RF
TAP
MAR
XYL
CMI
KR
PLD
USB
BSX
LKQ
FBHS
ITW
TWTR
EOG
PVH
KMB
NTRA
EL
GD
CNP
PM
RE
MCO
CLX
CAH
HRB
HTLF
DGX
AVB
DIS
GE
HII
LDOS
BF-A
ALGN
NFLX
FITB
WST
GWW
ENS
NTRS
MS-PF
SRG
AOS
FE
ABC
JPM
ABT
OMC
TSCO
PH
HST
JBHT
COP
CNC
MCK
TXT
NTRR
AKAM
ROL
RMD
WRB
ANET
PAYX
ALK
DRI
CUK
ILMN
AAL
MAA
MMC
FFIV
CINF
VMC
MKTX
SRE
ORLY
IVZ
RCL
PXD
COTY
SNPS
SIVB
YUM
LYV
KSS
PFE
REGN
CL
VFC
UA
VZ
JCI
CDE
AMGN
TEL
JKHY
ADP
STT
RSG
IFF
LYB
GIS
PHM
ROST
LBTYA
LUV
CPB
OKE
BK
SYF
CHD
SLG
MHK
DAL
APA
K
NI
NCLH
ZION
RJF
HBAN
PRU
GPC
FISV
WMB
EQR
DVA
HBI
HON
O
TTWO
SLB
AAPL
WY
APD
GRMN
AEE
HLT
NEOG
DLTR
HAS
TMUS
NTAP
KIM
BAX
LMT
ABMD
KEY
UNM
KEYS
BMY
WYNN
RHI
EFX
PKG
NOK
CTSH
SWK
MU
TRV
AEP
TW
JNJ
WM
DOV
FTI
CRM
WAT
TIME
IEX
BWA
LRCX
NWL
BLK
